,country,year,gni_per_capita,population,life_expectancy
38398,Australia,2001,29600.0,19200000.0,80.1
38413,Brazil,2001,4920.0,178000000.0,71.5
38419,Canada,2001,33800.0,31000000.0,79.6
38422,China,2001,1480.0,1270000000.0,71.7
38434,Germany,2001,36300.0,81500000.0,78.7
38451,United Kingdom,2001,42500.0,59100000.0,78.3
38468,India,2001,661.0,1080000000.0,63.3
38477,Japan,2001,54000.0,127000000.0,81.9
38571,United States,2001,53900.0,285000000.0,77.1
38579,South Africa,2001,4690.0,47200000.0,54.8
38589,Australia,2002,29200.0,19500000.0,80.3
38604,Brazil,2002,4520.0,180000000.0,71.8
38610,Canada,2002,34400.0,31300000.0,79.8
38613,China,2002,1620.0,1280000000.0,72.0
38625,Germany,2002,34400.0,81400000.0,78.8
38642,United Kingdom,2002,42500.0,59400000.0,78.5
38659,India,2002,670.0,1100000000.0,63.8
38668,Japan,2002,50700.0,127000000.0,82.2
38762,United States,2002,54400.0,288000000.0,77.2
38770,South Africa,2002,4360.0,47700000.0,53.7
38780,Australia,2003,29500.0,19700000.0,80.6
38795,Brazil,2003,4170.0,183000000.0,72.0
38801,Canada,2003,36000.0,31600000.0,80.0
38804,China,2003,1780.0,1290000000.0,72.3
38816,Germany,2003,36300.0,81300000.0,78.9
38833,United Kingdom,2003,45000.0,59600000.0,78.6
38850,India,2003,725.0,1120000000.0,64.5
38859,Japan,2003,48900.0,128000000.0,82.3
38953,United States,2003,55400.0,291000000.0,77.3
38961,South Africa,2003,4570.0,48100000.0,52.7
38971,Australia,2004,33500.0,19900000.0,80.9
38986,Brazil,2004,4390.0,185000000.0,72.3
38992,Canada,2004,39200.0,31900000.0,80.2
38995,China,2004,1980.0,1300000000.0,72.5
39007,Germany,2004,41400.0,81300000.0,79.3
39024,United Kingdom,2004,49600.0,60000000.0,79.0
39041,India,2004,799.0,1140000000.0,65.2
39050,Japan,2004,50200.0,128000000.0,82.5
39144,United States,2004,57000.0,294000000.0,77.7
39152,South Africa,2004,5480.0,48600000.0,52.2
39162,Australia,2005,38500.0,20200000.0,81.2
39177,Brazil,2005,5070.0,187000000.0,72.8
39183,Canada,2005,44100.0,32200000.000000004,80.4
39186,China,2005,2230.0,1300000000.0,73.0
39198,Germany,2005,45200.0,81200000.0,79.6
39215,United Kingdom,2005,54200.0,60400000.0,79.3
39232,India,2005,899.0,1150000000.0,65.4
39241,Japan,2005,51400.0,128000000.0,82.5
39335,United States,2005,58500.0,297000000.0,77.7
39343,South Africa,2005,7100.0,49000000.0,52.1
39353,Australia,2006,42500.0,20500000.0,81.5
39368,Brazil,2006,6040.0,189000000.0,73.1
39374,Canada,2006,47900.0,32500000.0,80.7
39377,China,2006,2570.0,1310000000.0,73.7
39389,Germany,2006,47600.0,81200000.0,79.9
